jj=94, kk=372, dout(373)=-1.000000+j0.000000
jj=95, kk=244, dout(245)=-1.000000+j0.000000
jj=96, kk=500, dout(501)=-1.000000+j0.000000
jj=97, kk=12, dout(13)=-1.000000+j0.000000
jj=98, kk=268, dout(269)=-1.000000+j0.000000
jj=99, kk=140, dout(141)=-1.000000+j0.000000
jj=100, kk=396, dout(397)=-1.000000+j0.000000
jj=101, kk=76, dout(77)=-1.000000+j0.000000
jj=102, kk=332, dout(333)=-1.000000+j0.000000
jj=103, kk=204, dout(205)=-1.000000+j0.000000
jj=104, kk=460, dout(461)=-1.000000+j0.000000
jj=105, kk=44, dout(45)=-1.000000+j0.000000
jj=106, kk=300, dout(301)=-1.000000+j0.000000
jj=107, kk=172, dout(173)=-1.000000+j0.000000
jj=108, kk=428, dout(429)=-1.000000+j0.000000
jj=109, kk=108, dout(109)=-1.000000+j0.000000
jj=110, kk=364, dout(365)=-1.000000+j0.000000
jj=111, kk=236, dout(237)=-1.000000+j0.000000
jj=112, kk=492, dout(493)=-1.000000+j0.000000
jj=113, kk=28, dout(29)=-1.000000+j0.000000
jj=114, kk=284, dout(285)=-1.000000+j0.000000
jj=115, kk=156, dout(157)=-1.000000+j0.000000
jj=116, kk=412, dout(413)=-1.000000+j0.000000
jj=117, kk=92, dout(93)=-1.000000+j0.000000
jj=118, kk=348, dout(349)=-1.000000+j0.000000
jj=119, kk=220, dout(221)=-1.000000+j0.000000
jj=120, kk=476, dout(477)=-1.000000+j0.000000
jj=121, kk=60, dout(61)=-1.000000+j0.000000
jj=122, kk=316, dout(317)=-1.000000+j0.000000
jj=123, kk=188, dout(189)=-1.000000+j0.000000
jj=124, kk=444, dout(445)=-1.000000+j0.000000
jj=125, kk=124, dout(125)=-1.000000+j0.000000
jj=126, kk=380, dout(381)=-1.000000+j0.000000
jj=127, kk=252, dout(253)=-1.000000+j0.000000
jj=128, kk=508, dout(509)=-1.000000+j0.000000
jj=129, kk=2, dout(3)=-1.000000+j0.000000
jj=130, kk=258, dout(259)=-1.000000+j0.000000
jj=131, kk=130, dout(131)=-1.000000+j0.000000
jj=132, kk=386, dout(387)=-1.000000+j0.000000
jj=133, kk=66, dout(67)=-1.000000+j0.000000
jj=134, kk=322, dout(323)=-1.000000+j0.000000
jj=135, kk=194, dout(195)=-1.000000+j0.000000
jj=136, kk=450, dout(451)=-1.000000+j0.000000
jj=137, kk=34, dout(35)=-1.000000+j0.000000
jj=138, kk=290, dout(291)=-1.000000+j0.000000
jj=139, kk=162, dout(163)=-1.000000+j0.000000
jj=140, kk=418, dout(419)=-1.000000+j0.000000
jj=141, kk=98, dout(99)=-1.000000+j0.000000
jj=142, kk=354, dout(355)=-1.000000+j0.000000
jj=143, kk=226, dout(227)=-1.000000+j0.000000
jj=144, kk=482, dout(483)=-1.000000+j0.000000
jj=145, kk=18, dout(19)=-1.000000+j0.000000
jj=146, kk=274, dout(275)=-1.000000+j0.000000
jj=147, kk=146, dout(147)=-1.000000+j0.000000
jj=148, kk=402, dout(403)=-1.000000+j0.000000
jj=149, kk=82, dout(83)=-1.000000+j0.000000
jj=150, kk=338, dout(339)=-1.000000+j0.000000
jj=151, kk=210, dout(211)=-1.000000+j0.000000
jj=152, kk=466, dout(467)=-1.000000+j0.000000
jj=153, kk=50, dout(51)=-1.000000+j0.000000
jj=154, kk=306, dout(307)=-1.000000+j0.000000
jj=155, kk=178, dout(179)=-1.000000+j0.000000
jj=156, kk=434, dout(435)=-1.000000+j0.000000
jj=157, kk=114, dout(115)=-1.000000+j0.000000
jj=158, kk=370, dout(371)=-1.000000+j0.000000
jj=159, kk=242, dout(243)=-1.000000+j0.000000
jj=160, kk=498, dout(499)=-1.000000+j0.000000
jj=161, kk=10, dout(11)=-1.000000+j0.000000
jj=162, kk=266, dout(267)=-1.000000+j0.000000
jj=163, kk=138, dout(139)=-1.000000+j0.000000
jj=164, kk=394, dout(395)=-1.000000+j0.000000
jj=165, kk=74, dout(75)=-1.000000+j0.000000
jj=166, kk=330, dout(331)=-1.000000+j0.000000
jj=167, kk=202, dout(203)=-1.000000+j0.000000
jj=168, kk=458, dout(459)=-1.000000+j0.000000
jj=169, kk=42, dout(43)=-1.000000+j0.000000
jj=170, kk=298, dout(299)=-1.000000+j0.000000
jj=171, kk=170, dout(171)=-1.000000+j0.000000
jj=172, kk=426, dout(427)=-1.000000+j0.000000
jj=173, kk=106, dout(107)=-1.000000+j0.000000
jj=174, kk=362, dout(363)=-1.000000+j0.000000
jj=175, kk=234, dout(235)=-1.000000+j0.000000
jj=176, kk=490, dout(491)=-1.000000+j0.000000
jj=177, kk=26, dout(27)=-1.000000+j0.000000
jj=178, kk=282, dout(283)=-1.000000+j0.000000
jj=179, kk=154, dout(155)=-1.000000+j0.000000
jj=180, kk=410, dout(411)=-1.000000+j0.000000
jj=181, kk=90, dout(91)=-1.000000+j0.000000
jj=182, kk=346, dout(347)=-1.000000+j0.000000
jj=183, kk=218, dout(219)=-1.000000+j0.000000
jj=184, kk=474, dout(475)=-1.000000+j0.000000
jj=185, kk=58, dout(59)=-1.000000+j0.000000
jj=186, kk=314, dout(315)=-1.000000+j0.000000
jj=187, kk=186, dout(187)=-1.000000+j0.000000
jj=188, kk=442, dout(443)=-1.000000+j0.000000
jj=189, kk=122, dout(123)=-1.000000+j0.000000
jj=190, kk=378, dout(379)=-1.000000+j0.000000
jj=191, kk=250, dout(251)=-1.000000+j0.000000
jj=192, kk=506, dout(507)=-1.000000+j0.000000
jj=193, kk=6, dout(7)=-1.000000+j0.000000
jj=194, kk=262, dout(263)=-1.000000+j0.000000
jj=195, kk=134, dout(135)=-1.000000+j0.000000
