jj=111, kk=236, dout(237)=-1+j0, indexsum=22
jj=112, kk=492, dout(493)=-6+j0, indexsum=18
jj=113, kk=28, dout(29)=-1+j0, indexsum=22
jj=114, kk=284, dout(285)=3+j-1, indexsum=18
jj=115, kk=156, dout(157)=-1+j0, indexsum=22
jj=116, kk=412, dout(413)=-5+j-1, indexsum=19
jj=117, kk=92, dout(93)=-1+j0, indexsum=22
jj=118, kk=348, dout(349)=4+j0, indexsum=19
jj=119, kk=220, dout(221)=-1+j0, indexsum=22
jj=120, kk=476, dout(477)=0+j-1, indexsum=19
jj=121, kk=60, dout(61)=-1+j0, indexsum=22
jj=122, kk=316, dout(317)=3+j0, indexsum=18
jj=123, kk=188, dout(189)=-1+j0, indexsum=22
jj=124, kk=444, dout(445)=2+j0, indexsum=19
jj=125, kk=124, dout(125)=-1+j0, indexsum=22
jj=126, kk=380, dout(381)=-3+j0, indexsum=20
jj=127, kk=252, dout(253)=-1+j0, indexsum=22
jj=128, kk=508, dout(509)=-2+j1, indexsum=10
jj=129, kk=2, dout(3)=-1+j0, indexsum=22
jj=130, kk=258, dout(259)=-4+j-1, indexsum=10
jj=131, kk=130, dout(131)=-1+j0, indexsum=22
jj=132, kk=386, dout(387)=-1+j-1, indexsum=20
jj=133, kk=66, dout(67)=-1+j0, indexsum=22
jj=134, kk=322, dout(323)=-4+j-1, indexsum=19
jj=135, kk=194, dout(195)=-1+j0, indexsum=22
jj=136, kk=450, dout(451)=1+j-1, indexsum=19
jj=137, kk=34, dout(35)=-1+j0, indexsum=22
jj=138, kk=290, dout(291)=1+j-2, indexsum=19
jj=139, kk=162, dout(163)=-1+j0, indexsum=22
jj=140, kk=418, dout(419)=-4+j0, indexsum=19
jj=141, kk=98, dout(99)=-1+j0, indexsum=22
jj=142, kk=354, dout(355)=2+j-1, indexsum=19
jj=143, kk=226, dout(227)=-1+j0, indexsum=22
jj=144, kk=482, dout(483)=3+j-2, indexsum=18
jj=145, kk=18, dout(19)=-1+j0, indexsum=22
jj=146, kk=274, dout(275)=-5+j0, indexsum=18
jj=147, kk=146, dout(147)=-1+j0, indexsum=22
jj=148, kk=402, dout(403)=0+j0, indexsum=19
jj=149, kk=82, dout(83)=-1+j0, indexsum=22
jj=150, kk=338, dout(339)=-2+j-1, indexsum=20
jj=151, kk=210, dout(211)=-1+j0, indexsum=22
jj=152, kk=466, dout(467)=-1+j0, indexsum=19
jj=153, kk=50, dout(51)=-1+j0, indexsum=22
jj=154, kk=306, dout(307)=3+j-1, indexsum=19
jj=155, kk=178, dout(179)=-1+j0, indexsum=22
jj=156, kk=434, dout(435)=0+j0, indexsum=19
jj=157, kk=114, dout(115)=-1+j0, indexsum=22
jj=158, kk=370, dout(371)=0+j0, indexsum=20
jj=159, kk=242, dout(243)=-1+j0, indexsum=22
jj=160, kk=498, dout(499)=2+j1, indexsum=19
jj=161, kk=10, dout(11)=-1+j0, indexsum=22
jj=162, kk=266, dout(267)=-2+j-1, indexsum=19
jj=163, kk=138, dout(139)=-1+j0, indexsum=22
jj=164, kk=394, dout(395)=-1+j0, indexsum=20
jj=165, kk=74, dout(75)=-1+j0, indexsum=22
jj=166, kk=330, dout(331)=-1+j0, indexsum=19
jj=167, kk=202, dout(203)=-1+j0, indexsum=22
jj=168, kk=458, dout(459)=-2+j-1, indexsum=19
jj=169, kk=42, dout(43)=-1+j0, indexsum=22
jj=170, kk=298, dout(299)=0+j0, indexsum=19
jj=171, kk=170, dout(171)=-1+j0, indexsum=22
jj=172, kk=426, dout(427)=1+j-1, indexsum=20
jj=173, kk=106, dout(107)=-1+j0, indexsum=22
jj=174, kk=362, dout(363)=-2+j0, indexsum=19
jj=175, kk=234, dout(235)=-1+j0, indexsum=22
jj=176, kk=490, dout(491)=-1+j-2, indexsum=18
jj=177, kk=26, dout(27)=-1+j0, indexsum=22
jj=178, kk=282, dout(283)=-3+j-2, indexsum=18
jj=179, kk=154, dout(155)=-1+j0, indexsum=22
jj=180, kk=410, dout(411)=-2+j-1, indexsum=19
jj=181, kk=90, dout(91)=-1+j0, indexsum=22
jj=182, kk=346, dout(347)=-3+j0, indexsum=19
jj=183, kk=218, dout(219)=-1+j0, indexsum=22
jj=184, kk=474, dout(475)=0+j-3, indexsum=19
jj=185, kk=58, dout(59)=-1+j0, indexsum=22
jj=186, kk=314, dout(315)=3+j-2, indexsum=18
jj=187, kk=186, dout(187)=-1+j0, indexsum=22
jj=188, kk=442, dout(443)=-3+j-1, indexsum=19
jj=189, kk=122, dout(123)=-1+j0, indexsum=22
jj=190, kk=378, dout(379)=0+j0, indexsum=20
jj=191, kk=250, dout(251)=-1+j0, indexsum=22
jj=192, kk=506, dout(507)=4+j2, indexsum=10
jj=193, kk=6, dout(7)=-1+j0, indexsum=22
jj=194, kk=262, dout(263)=-5+j1, indexsum=10
jj=195, kk=134, dout(135)=-1+j0, indexsum=22
jj=196, kk=390, dout(391)=-3+j0, indexsum=20
jj=197, kk=70, dout(71)=-1+j0, indexsum=22
jj=198, kk=326, dout(327)=3+j0, indexsum=19
jj=199, kk=198, dout(199)=-1+j0, indexsum=22
jj=200, kk=454, dout(455)=-1+j-3, indexsum=19
jj=201, kk=38, dout(39)=-1+j0, indexsum=22
