jj=111, kk=236, dout(237)=-79+j-25, indexsum=14
jj=112, kk=492, dout(493)=-147+j-115, indexsum=14
jj=113, kk=28, dout(29)=121+j-18, indexsum=14
jj=114, kk=284, dout(285)=-83+j29, indexsum=14
jj=115, kk=156, dout(157)=43+j46, indexsum=14
jj=116, kk=412, dout(413)=243+j150, indexsum=14
jj=117, kk=92, dout(93)=39+j-11, indexsum=14
jj=118, kk=348, dout(349)=-104+j-33, indexsum=13
jj=119, kk=220, dout(221)=11+j112, indexsum=14
jj=120, kk=476, dout(477)=-87+j-144, indexsum=14
jj=121, kk=60, dout(61)=32+j-13, indexsum=14
jj=122, kk=316, dout(317)=-62+j-35, indexsum=14
jj=123, kk=188, dout(189)=-27+j78, indexsum=14
jj=124, kk=444, dout(445)=39+j33, indexsum=14
jj=125, kk=124, dout(125)=37+j34, indexsum=14
jj=126, kk=380, dout(381)=18+j75, indexsum=14
jj=127, kk=252, dout(253)=-70+j2, indexsum=13
jj=128, kk=508, dout(509)=-21+j65, indexsum=13
jj=129, kk=2, dout(3)=38+j-93, indexsum=11
jj=130, kk=258, dout(259)=32+j-43, indexsum=14
jj=131, kk=130, dout(131)=-94+j129, indexsum=14
jj=132, kk=386, dout(387)=-36+j8, indexsum=14
jj=133, kk=66, dout(67)=-120+j80, indexsum=14
jj=134, kk=322, dout(323)=17+j-31, indexsum=13
jj=135, kk=194, dout(195)=1+j-60, indexsum=13
jj=136, kk=450, dout(451)=79+j-119, indexsum=13
jj=137, kk=34, dout(35)=102+j-78, indexsum=14
jj=138, kk=290, dout(291)=-103+j-1, indexsum=14
jj=139, kk=162, dout(163)=-127+j-16, indexsum=14
jj=140, kk=418, dout(419)=-27+j-118, indexsum=14
jj=141, kk=98, dout(99)=114+j-51, indexsum=14
jj=142, kk=354, dout(355)=40+j28, indexsum=13
jj=143, kk=226, dout(227)=-52+j7, indexsum=13
jj=144, kk=482, dout(483)=-9+j-115, indexsum=13
jj=145, kk=18, dout(19)=-5+j88, indexsum=13
jj=146, kk=274, dout(275)=8+j-75, indexsum=14
jj=147, kk=146, dout(147)=-54+j61, indexsum=14
jj=148, kk=402, dout(403)=-24+j-20, indexsum=13
jj=149, kk=82, dout(83)=14+j97, indexsum=13
jj=150, kk=338, dout(339)=25+j-15, indexsum=14
jj=151, kk=210, dout(211)=-57+j-65, indexsum=14
jj=152, kk=466, dout(467)=82+j-15, indexsum=14
