sig_pow(ii = 69)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 70)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.000000
sig_pow(ii = 71)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 72)=0.000000, noise_pow(ii)=0.140625, fft_out_fixed=0.015625
sig_pow(ii = 73)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 74)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.015625
sig_pow(ii = 75)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 76)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.015625
sig_pow(ii = 77)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 78)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.015625
sig_pow(ii = 79)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 80)=0.000000, noise_pow(ii)=0.140625, fft_out_fixed=0.003906
sig_pow(ii = 81)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 82)=0.000000, noise_pow(ii)=0.140625, fft_out_fixed=0.000000
sig_pow(ii = 83)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 84)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.003906
sig_pow(ii = 85)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 86)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.003906
sig_pow(ii = 87)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 88)=0.000000, noise_pow(ii)=0.097656, fft_out_fixed=0.003906
sig_pow(ii = 89)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 90)=0.000000, noise_pow(ii)=0.062500, fft_out_fixed=0.000000
sig_pow(ii = 91)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 92)=0.000000, noise_pow(ii)=0.062500, fft_out_fixed=0.003906
sig_pow(ii = 93)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 94)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.000000
sig_pow(ii = 95)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 96)=0.000000, noise_pow(ii)=0.035156, fft_out_fixed=0.003906
sig_pow(ii = 97)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 98)=0.000000, noise_pow(ii)=0.035156, fft_out_fixed=0.003906
sig_pow(ii = 99)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 100)=0.000000, noise_pow(ii)=0.035156, fft_out_fixed=0.003906
sig_pow(ii = 101)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 102)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.003906
sig_pow(ii = 103)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 104)=0.000000, noise_pow(ii)=0.035156, fft_out_fixed=0.015625
sig_pow(ii = 105)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 106)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.000000
sig_pow(ii = 107)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 108)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 109)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 110)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.003906
sig_pow(ii = 111)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 112)=0.000000, noise_pow(ii)=0.097656, fft_out_fixed=0.003906
sig_pow(ii = 113)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 114)=0.000000, noise_pow(ii)=0.062500, fft_out_fixed=0.003906
sig_pow(ii = 115)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 116)=0.000000, noise_pow(ii)=0.062500, fft_out_fixed=0.003906
sig_pow(ii = 117)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 118)=0.000000, noise_pow(ii)=0.035156, fft_out_fixed=0.000000
sig_pow(ii = 119)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 120)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.000000
sig_pow(ii = 121)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 122)=0.000000, noise_pow(ii)=0.062500, fft_out_fixed=0.003906
sig_pow(ii = 123)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 124)=0.000000, noise_pow(ii)=0.035156, fft_out_fixed=0.003906
sig_pow(ii = 125)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 126)=0.000000, noise_pow(ii)=0.035156, fft_out_fixed=0.003906
sig_pow(ii = 127)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 128)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.015625
sig_pow(ii = 129)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 130)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 131)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 132)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.003906
sig_pow(ii = 133)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 134)=0.000000, noise_pow(ii)=0.035156, fft_out_fixed=0.003906
sig_pow(ii = 135)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 136)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.003906
sig_pow(ii = 137)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 138)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.003906
sig_pow(ii = 139)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 140)=0.000000, noise_pow(ii)=0.062500, fft_out_fixed=0.003906
sig_pow(ii = 141)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 142)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.000000
sig_pow(ii = 143)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 144)=0.000000, noise_pow(ii)=0.035156, fft_out_fixed=0.015625
sig_pow(ii = 145)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 146)=0.000000, noise_pow(ii)=0.097656, fft_out_fixed=0.015625
sig_pow(ii = 147)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 148)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.000000
sig_pow(ii = 149)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 150)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.000000
sig_pow(ii = 151)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 152)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.003906
sig_pow(ii = 153)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 154)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.003906
sig_pow(ii = 155)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 156)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.003906
sig_pow(ii = 157)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 158)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.003906
sig_pow(ii = 159)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 160)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.015625
sig_pow(ii = 161)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 162)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.003906
sig_pow(ii = 163)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 164)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.003906
sig_pow(ii = 165)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 166)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.003906
sig_pow(ii = 167)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 168)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.003906
sig_pow(ii = 169)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 170)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.000000
sig_pow(ii = 171)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 172)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.003906
sig_pow(ii = 173)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 174)=0.000000, noise_pow(ii)=0.035156, fft_out_fixed=0.000000
sig_pow(ii = 175)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 176)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.003906
sig_pow(ii = 177)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 178)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.003906
sig_pow(ii = 179)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 180)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.015625
sig_pow(ii = 181)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 182)=0.000000, noise_pow(ii)=0.062500, fft_out_fixed=0.000000
sig_pow(ii = 183)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 184)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.035156
sig_pow(ii = 185)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 186)=0.000000, noise_pow(ii)=0.035156, fft_out_fixed=0.015625
sig_pow(ii = 187)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 188)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.003906
sig_pow(ii = 189)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 190)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.003906
sig_pow(ii = 191)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 192)=0.000000, noise_pow(ii)=0.062500, fft_out_fixed=0.015625
sig_pow(ii = 193)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 194)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.003906
sig_pow(ii = 195)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 196)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.003906
sig_pow(ii = 197)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 198)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.003906
sig_pow(ii = 199)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 200)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.003906
sig_pow(ii = 201)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 202)=0.000000, noise_pow(ii)=0.062500, fft_out_fixed=0.000000
sig_pow(ii = 203)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 204)=0.000000, noise_pow(ii)=0.015625, fft_out_fixed=0.003906
sig_pow(ii = 205)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 206)=0.000000, noise_pow(ii)=0.035156, fft_out_fixed=0.000000
sig_pow(ii = 207)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 208)=0.000000, noise_pow(ii)=0.003906, fft_out_fixed=0.003906
sig_pow(ii = 209)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 210)=0.000000, noise_pow(ii)=0.062500, fft_out_fixed=0.015625
sig_pow(ii = 211)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
sig_pow(ii = 212)=0.000000, noise_pow(ii)=0.097656, fft_out_fixed=0.000000
sig_pow(ii = 213)=0.000000, noise_pow(ii)=0.000000, fft_out_fixed=0.000000
