sig_pow(ii)=43.455427, noise_pow(ii)=0.010702
sig_pow(ii)=43.942954, noise_pow(ii)=0.017810
sig_pow(ii)=40.819568, noise_pow(ii)=0.009189
sig_pow(ii)=59.326333, noise_pow(ii)=0.003298
sig_pow(ii)=454.772766, noise_pow(ii)=0.034861
sig_pow(ii)=55.488555, noise_pow(ii)=0.018577
sig_pow(ii)=184.619906, noise_pow(ii)=0.022605
sig_pow(ii)=141.691547, noise_pow(ii)=0.019483
sig_pow(ii)=33.569862, noise_pow(ii)=0.079251
sig_pow(ii)=7.573225, noise_pow(ii)=0.023524
sig_pow(ii)=37.364460, noise_pow(ii)=0.004615
sig_pow(ii)=33.021665, noise_pow(ii)=0.085141
sig_pow(ii)=91.482800, noise_pow(ii)=0.007485
sig_pow(ii)=6.959033, noise_pow(ii)=0.020699
sig_pow(ii)=1.668644, noise_pow(ii)=0.001643
sig_pow(ii)=21.902365, noise_pow(ii)=0.008081
sig_pow(ii)=13.608115, noise_pow(ii)=0.030976
sig_pow(ii)=48.539549, noise_pow(ii)=0.003481
sig_pow(ii)=179.641629, noise_pow(ii)=0.017572
sig_pow(ii)=112.572890, noise_pow(ii)=0.000381
sig_pow(ii)=172.391008, noise_pow(ii)=0.122061
sig_pow(ii)=38.335280, noise_pow(ii)=0.033304
sig_pow(ii)=147.051029, noise_pow(ii)=0.050257
sig_pow(ii)=50.606077, noise_pow(ii)=0.023008
sig_pow(ii)=94.061776, noise_pow(ii)=0.016801
sig_pow(ii)=252.639818, noise_pow(ii)=0.023431
sig_pow(ii)=201.172585, noise_pow(ii)=0.018118
sig_pow(ii)=17.240143, noise_pow(ii)=0.006269
sig_pow(ii)=138.475535, noise_pow(ii)=0.002950
sig_pow(ii)=97.424759, noise_pow(ii)=0.095401
sig_pow(ii)=102.713371, noise_pow(ii)=0.039803
sig_pow(ii)=50.387258, noise_pow(ii)=0.013798
sig_pow(ii)=212.627052, noise_pow(ii)=0.016017
sig_pow(ii)=298.233058, noise_pow(ii)=0.001206
sig_pow(ii)=226.028381, noise_pow(ii)=0.003103
sig_pow(ii)=81.623092, noise_pow(ii)=0.000014
sig_pow(ii)=84.684911, noise_pow(ii)=0.012850
sig_pow(ii)=118.311294, noise_pow(ii)=0.021783
sig_pow(ii)=96.842891, noise_pow(ii)=0.025073
sig_pow(ii)=14.538048, noise_pow(ii)=0.003079
sig_pow(ii)=101.675181, noise_pow(ii)=0.090493
sig_pow(ii)=58.536446, noise_pow(ii)=0.080903
sig_pow(ii)=28.042554, noise_pow(ii)=0.028085
sig_pow(ii)=34.212486, noise_pow(ii)=0.032569
sig_pow(ii)=403.003903, noise_pow(ii)=0.001925
sig_pow(ii)=323.228561, noise_pow(ii)=0.076370
sig_pow(ii)=31.964171, noise_pow(ii)=0.086205
sig_pow(ii)=54.272322, noise_pow(ii)=0.004744
sig_pow(ii)=191.178439, noise_pow(ii)=0.013049
sig_pow(ii)=16.427738, noise_pow(ii)=0.003534
sig_pow(ii)=1.786122, noise_pow(ii)=0.029304
sig_pow(ii)=96.503731, noise_pow(ii)=0.006766
sig_pow(ii)=11.317533, noise_pow(ii)=0.005924
sig_pow(ii)=99.378505, noise_pow(ii)=0.027577
sig_pow(ii)=38.385477, noise_pow(ii)=0.018127
sig_pow(ii)=21.184127, noise_pow(ii)=0.043530
sig_pow(ii)=55.706071, noise_pow(ii)=0.029001
sig_pow(ii)=93.616468, noise_pow(ii)=0.050469
sig_pow(ii)=174.024883, noise_pow(ii)=0.037356
sig_pow(ii)=113.136494, noise_pow(ii)=0.008439
sig_pow(ii)=39.467022, noise_pow(ii)=0.019664
sig_pow(ii)=289.162388, noise_pow(ii)=0.011973
sig_pow(ii)=142.856621, noise_pow(ii)=0.016600
sig_pow(ii)=14.549636, noise_pow(ii)=0.001396
sig_pow(ii)=62.064018, noise_pow(ii)=0.053545
sig_pow(ii)=12.020385, noise_pow(ii)=0.008589
sig_pow(ii)=53.300496, noise_pow(ii)=0.019492
sig_pow(ii)=62.108776, noise_pow(ii)=0.016719
sig_pow(ii)=114.146533, noise_pow(ii)=0.018255
sig_pow(ii)=63.296336, noise_pow(ii)=0.000128
sig_pow(ii)=12.363036, noise_pow(ii)=0.012260
sig_pow(ii)=4.059659, noise_pow(ii)=0.030290
sig_pow(ii)=101.869920, noise_pow(ii)=0.011215
sig_pow(ii)=36.434821, noise_pow(ii)=0.014624
sig_pow(ii)=38.366806, noise_pow(ii)=0.012485
sig_pow(ii)=36.822241, noise_pow(ii)=0.015617
sig_pow(ii)=100.224667, noise_pow(ii)=0.035818
sig_pow(ii)=205.924308, noise_pow(ii)=0.077085
sig_pow(ii)=49.356589, noise_pow(ii)=0.009360
sig_pow(ii)=192.132651, noise_pow(ii)=0.030333
sig_pow(ii)=45.930844, noise_pow(ii)=0.007226
sig_pow(ii)=52.582355, noise_pow(ii)=0.016758
sig_pow(ii)=158.300133, noise_pow(ii)=0.016959
sig_pow(ii)=77.890878, noise_pow(ii)=0.040120
sig_pow(ii)=34.927138, noise_pow(ii)=0.091441
sig_pow(ii)=51.172933, noise_pow(ii)=0.025117
sig_pow(ii)=26.652480, noise_pow(ii)=0.046117
sig_pow(ii)=50.357365, noise_pow(ii)=0.000536
sig_pow(ii)=329.083166, noise_pow(ii)=0.003611
sig_pow(ii)=23.661002, noise_pow(ii)=0.047989
sig_pow(ii)=76.311951, noise_pow(ii)=0.064263
sig_pow(ii)=24.277697, noise_pow(ii)=0.005551
sig_pow(ii)=2.804475, noise_pow(ii)=0.058099
sig_pow(ii)=82.357294, noise_pow(ii)=0.017172
sig_pow(ii)=25.553725, noise_pow(ii)=0.015681
sig_pow(ii)=148.213320, noise_pow(ii)=0.043823
sig_pow(ii)=0.359110, noise_pow(ii)=0.010034
sig_pow(ii)=70.726610, noise_pow(ii)=0.037656
sig_pow(ii)=21.157235, noise_pow(ii)=0.038237
sig_pow(ii)=121.456243, noise_pow(ii)=0.001768
sig_pow(ii)=19.101015, noise_pow(ii)=0.010717
sig_pow(ii)=70.924579, noise_pow(ii)=0.097683
sig_pow(ii)=104.094787, noise_pow(ii)=0.052608
sig_pow(ii)=12.491579, noise_pow(ii)=0.048348
sig_pow(ii)=163.857537, noise_pow(ii)=0.008358
sig_pow(ii)=34.442929, noise_pow(ii)=0.021906
sig_pow(ii)=63.132260, noise_pow(ii)=0.016983
sig_pow(ii)=87.255902, noise_pow(ii)=0.012052
sig_pow(ii)=71.434197, noise_pow(ii)=0.060816
sig_pow(ii)=19.565729, noise_pow(ii)=0.006993
sig_pow(ii)=42.051554, noise_pow(ii)=0.007759
sig_pow(ii)=144.420248, noise_pow(ii)=0.046670
sig_pow(ii)=38.789998, noise_pow(ii)=0.061167
sig_pow(ii)=21.157874, noise_pow(ii)=0.007390
sig_pow(ii)=113.574755, noise_pow(ii)=0.027041
sig_pow(ii)=113.201466, noise_pow(ii)=0.000773
sig_pow(ii)=70.091191, noise_pow(ii)=0.012898
sig_pow(ii)=45.683310, noise_pow(ii)=0.005864
sig_pow(ii)=187.412190, noise_pow(ii)=0.001920
sig_pow(ii)=40.707010, noise_pow(ii)=0.062662
sig_pow(ii)=1.176154, noise_pow(ii)=0.039668
sig_pow(ii)=88.920764, noise_pow(ii)=0.030507
sig_pow(ii)=27.275254, noise_pow(ii)=0.001296
sig_pow(ii)=32.025898, noise_pow(ii)=0.012298
sig_pow(ii)=18.495458, noise_pow(ii)=0.035442
sig_pow(ii)=101.334838, noise_pow(ii)=0.023511
sig_pow(ii)=137.893529, noise_pow(ii)=0.031921
sig_pow(ii)=40.938575, noise_pow(ii)=0.051992
sig_pow(ii)=89.860593, noise_pow(ii)=0.015877
sig_pow(ii)=15.516259, noise_pow(ii)=0.044880
sig_pow(ii)=88.423316, noise_pow(ii)=0.000223
sig_pow(ii)=244.628556, noise_pow(ii)=0.051178
sig_pow(ii)=25.137904, noise_pow(ii)=0.026707
sig_pow(ii)=66.306535, noise_pow(ii)=0.017650
sig_pow(ii)=160.131606, noise_pow(ii)=0.001971
sig_pow(ii)=115.171844, noise_pow(ii)=0.032895
sig_pow(ii)=48.770805, noise_pow(ii)=0.006504
sig_pow(ii)=129.224506, noise_pow(ii)=0.068847
sig_pow(ii)=64.703213, noise_pow(ii)=0.060677
sig_pow(ii)=143.668201, noise_pow(ii)=0.020553
sig_pow(ii)=100.712596, noise_pow(ii)=0.021579
sig_pow(ii)=95.287438, noise_pow(ii)=0.010420
sig_pow(ii)=110.780322, noise_pow(ii)=0.038164
sig_pow(ii)=68.953759, noise_pow(ii)=0.001577
sig_pow(ii)=65.358904, noise_pow(ii)=0.040405
sig_pow(ii)=51.751580, noise_pow(ii)=0.007716
sig_pow(ii)=30.864525, noise_pow(ii)=0.017239
sig_pow(ii)=72.988285, noise_pow(ii)=0.015289
sig_pow(ii)=59.194439, noise_pow(ii)=0.002837
sig_pow(ii)=47.657825, noise_pow(ii)=0.016057
sig_pow(ii)=55.567228, noise_pow(ii)=0.024885
sig_pow(ii)=60.037246, noise_pow(ii)=0.007034
sig_pow(ii)=102.835298, noise_pow(ii)=0.033893
sig_pow(ii)=29.724453, noise_pow(ii)=0.026857
sig_pow(ii)=38.725444, noise_pow(ii)=0.011613
sig_pow(ii)=10.242853, noise_pow(ii)=0.027241
sig_pow(ii)=113.629168, noise_pow(ii)=0.024833
sig_pow(ii)=125.830387, noise_pow(ii)=0.039569
sig_pow(ii)=190.695582, noise_pow(ii)=0.064859
sig_pow(ii)=73.639497, noise_pow(ii)=0.006676
sig_pow(ii)=80.198097, noise_pow(ii)=0.014934
sig_pow(ii)=4.983358, noise_pow(ii)=0.112496
sig_pow(ii)=27.727111, noise_pow(ii)=0.011276
sig_pow(ii)=121.647134, noise_pow(ii)=0.044293
sig_pow(ii)=109.416902, noise_pow(ii)=0.036825
sig_pow(ii)=22.623674, noise_pow(ii)=0.040750
sig_pow(ii)=12.880734, noise_pow(ii)=0.006205
sig_pow(ii)=44.190490, noise_pow(ii)=0.008488
sig_pow(ii)=56.334856, noise_pow(ii)=0.018616
sig_pow(ii)=124.164140, noise_pow(ii)=0.059356
sig_pow(ii)=15.959161, noise_pow(ii)=0.089377
sig_pow(ii)=68.812938, noise_pow(ii)=0.020531
sig_pow(ii)=35.169298, noise_pow(ii)=0.016396
sig_pow(ii)=14.832678, noise_pow(ii)=0.006760
sig_pow(ii)=104.484623, noise_pow(ii)=0.015129
sig_pow(ii)=89.663168, noise_pow(ii)=0.015718
sig_pow(ii)=165.117887, noise_pow(ii)=0.004971
sig_pow(ii)=33.078305, noise_pow(ii)=0.043769
sig_pow(ii)=247.905548, noise_pow(ii)=0.014774
sig_pow(ii)=8.503073, noise_pow(ii)=0.006871
sig_pow(ii)=62.710921, noise_pow(ii)=0.028455
sig_pow(ii)=29.502066, noise_pow(ii)=0.015032
sig_pow(ii)=34.631907, noise_pow(ii)=0.006625
sig_pow(ii)=77.046695, noise_pow(ii)=0.039872
sig_pow(ii)=87.143395, noise_pow(ii)=0.002633
sig_pow(ii)=4.739423, noise_pow(ii)=0.065298
