pre_bfly12(61)=-19756+j15592, index2_re(61)=8, index2_im(61)=8, bfly12(61)=-618+j487
pre_bfly12(62)=-28990+j-32773, index2_re(62)=8, index2_im(62)=8, bfly12(62)=-906+j-1025
pre_bfly12(63)=24677+j-22628, index2_re(63)=8, index2_im(63)=8, bfly12(63)=771+j-708
pre_bfly12(64)=3808+j42216, index2_re(64)=8, index2_im(64)=8, bfly12(64)=119+j1319
pre_bfly12(65)=33792+j-2944, index2_re(65)=6, index2_im(65)=6, bfly12(65)=264+j-23
pre_bfly12(66)=-84864+j54272, index2_re(66)=6, index2_im(66)=6, bfly12(66)=-663+j424
pre_bfly12(67)=-104704+j-230912, index2_re(67)=6, index2_im(67)=6, bfly12(67)=-818+j-1804
pre_bfly12(68)=-25856+j-150912, index2_re(68)=6, index2_im(68)=6, bfly12(68)=-202+j-1179
pre_bfly12(69)=46976+j-41728, index2_re(69)=6, index2_im(69)=6, bfly12(69)=367+j-326
pre_bfly12(70)=-17792+j-7680, index2_re(70)=6, index2_im(70)=6, bfly12(70)=-139+j-60
pre_bfly12(71)=33664+j65920, index2_re(71)=6, index2_im(71)=6, bfly12(71)=263+j515
pre_bfly12(72)=-48640+j159104, index2_re(72)=6, index2_im(72)=6, bfly12(72)=-380+j1243
pre_bfly12(73)=57856+j-49792, index2_re(73)=6, index2_im(73)=6, bfly12(73)=452+j-389
pre_bfly12(74)=69558+j55231, index2_re(74)=6, index2_im(74)=6, bfly12(74)=543+j431
pre_bfly12(75)=-104832+j69888, index2_re(75)=6, index2_im(75)=6, bfly12(75)=-819+j546
pre_bfly12(76)=19798+j-78661, index2_re(76)=6, index2_im(76)=6, bfly12(76)=154+j-615
pre_bfly12(77)=-84992+j-38784, index2_re(77)=6, index2_im(77)=6, bfly12(77)=-664+j-303
pre_bfly12(78)=-24719+j-97508, index2_re(78)=6, index2_im(78)=6, bfly12(78)=-194+j-762
pre_bfly12(79)=177086+j-9464, index2_re(79)=6, index2_im(79)=6, bfly12(79)=1383+j-74
pre_bfly12(80)=-141675+j131950, index2_re(80)=6, index2_im(80)=6, bfly12(80)=-1107+j1030
pre_bfly12(81)=48768+j-109312, index2_re(81)=5, index2_im(81)=5, bfly12(81)=190+j-427
pre_bfly12(82)=-111002+j250419, index2_re(82)=5, index2_im(82)=5, bfly12(82)=-434+j978
pre_bfly12(83)=366417+j13169, index2_re(83)=5, index2_im(83)=5, bfly12(83)=1431+j51
pre_bfly12(84)=169509+j137526, index2_re(84)=5, index2_im(84)=5, bfly12(84)=662+j537
pre_bfly12(85)=-18837+j-143325, index2_re(85)=5, index2_im(85)=5, bfly12(85)=-74+j-560
pre_bfly12(86)=60101+j-105776, index2_re(86)=5, index2_im(86)=5, bfly12(86)=234+j-414
pre_bfly12(87)=-36382+j296174, index2_re(87)=5, index2_im(87)=5, bfly12(87)=-143+j1156
pre_bfly12(88)=-17755+j102686, index2_re(88)=5, index2_im(88)=5, bfly12(88)=-70+j401
pre_bfly12(89)=52096+j-9984, index2_re(89)=6, index2_im(89)=6, bfly12(89)=407+j-78
pre_bfly12(90)=-83922+j151417, index2_re(90)=6, index2_im(90)=6, bfly12(90)=-656+j1182
pre_bfly12(91)=6283+j-46781, index2_re(91)=6, index2_im(91)=6, bfly12(91)=49+j-366
pre_bfly12(92)=69092+j-191029, index2_re(92)=6, index2_im(92)=6, bfly12(92)=539+j-1493
pre_bfly12(93)=-97643+j18655, index2_re(93)=6, index2_im(93)=6, bfly12(93)=-763+j145
pre_bfly12(94)=-29058+j-139345, index2_re(94)=6, index2_im(94)=6, bfly12(94)=-228+j-1089
pre_bfly12(95)=-101526+j-33932, index2_re(95)=6, index2_im(95)=6, bfly12(95)=-794+j-266
pre_bfly12(96)=82147+j72682, index2_re(96)=6, index2_im(96)=6, bfly12(96)=641+j567
pre_bfly12(97)=51328+j41344, index2_re(97)=6, index2_im(97)=6, bfly12(97)=401+j323
pre_bfly12(98)=9624+j-137914, index2_re(98)=6, index2_im(98)=6, bfly12(98)=75+j-1078
pre_bfly12(99)=-211670+j-113059, index2_re(99)=6, index2_im(99)=6, bfly12(99)=-1654+j-884
pre_bfly12(100)=-28277+j-35254, index2_re(100)=6, index2_im(100)=6, bfly12(100)=-221+j-276
pre_bfly12(101)=19790+j-192220, index2_re(101)=6, index2_im(101)=6, bfly12(101)=154+j-1502
pre_bfly12(102)=53966+j-84425, index2_re(102)=6, index2_im(102)=6, bfly12(102)=421+j-660
pre_bfly12(103)=-69286+j129022, index2_re(103)=6, index2_im(103)=6, bfly12(103)=-542+j1007
pre_bfly12(104)=-12339+j-186579, index2_re(104)=6, index2_im(104)=6, bfly12(104)=-97+j-1458
pre_bfly12(105)=-199296+j-136576, index2_re(105)=6, index2_im(105)=6, bfly12(105)=-1557+j-1067
pre_bfly12(106)=-164719+j39803, index2_re(106)=6, index2_im(106)=6, bfly12(106)=-1287+j310
pre_bfly12(107)=-183879+j171818, index2_re(107)=6, index2_im(107)=6, bfly12(107)=-1437+j1342
pre_bfly12(108)=73221+j206151, index2_re(108)=6, index2_im(108)=6, bfly12(108)=572+j1610
pre_bfly12(109)=-119680+j-90310, index2_re(109)=6, index2_im(109)=6, bfly12(109)=-935+j-706
pre_bfly12(110)=49977+j66177, index2_re(110)=6, index2_im(110)=6, bfly12(110)=390+j517
pre_bfly12(111)=53540+j-210438, index2_re(111)=6, index2_im(111)=6, bfly12(111)=418+j-1645
pre_bfly12(112)=79316+j192563, index2_re(112)=6, index2_im(112)=6, bfly12(112)=619+j1504
pre_bfly12(113)=95616+j69376, index2_re(113)=6, index2_im(113)=6, bfly12(113)=747+j542
pre_bfly12(114)=73077+j-124077, index2_re(114)=6, index2_im(114)=6, bfly12(114)=570+j-970
pre_bfly12(115)=-121139+j-89154, index2_re(115)=6, index2_im(115)=6, bfly12(115)=-947+j-697
pre_bfly12(116)=-65151+j249309, index2_re(116)=6, index2_im(116)=6, bfly12(116)=-509+j1947
pre_bfly12(117)=238612+j145016, index2_re(117)=6, index2_im(117)=6, bfly12(117)=1864+j1132
pre_bfly12(118)=242080+j-129602, index2_re(118)=6, index2_im(118)=6, bfly12(118)=1891+j-1013
pre_bfly12(119)=-133240+j-100595, index2_re(119)=6, index2_im(119)=6, bfly12(119)=-1041+j-786
pre_bfly12(120)=168046+j-93284, index2_re(120)=6, index2_im(120)=6, bfly12(120)=1312+j-729
pre_bfly12(121)=-25472+j124160, index2_re(121)=6, index2_im(121)=6, bfly12(121)=-199+j970
pre_bfly12(122)=88326+j-25164, index2_re(122)=6, index2_im(122)=6, bfly12(122)=690+j-197
pre_bfly12(123)=-43064+j-6711, index2_re(123)=6, index2_im(123)=6, bfly12(123)=-337+j-53
pre_bfly12(124)=84018+j25645, index2_re(124)=6, index2_im(124)=6, bfly12(124)=656+j200
pre_bfly12(125)=9012+j-57684, index2_re(125)=6, index2_im(125)=6, bfly12(125)=70+j-451
pre_bfly12(126)=-36973+j-19561, index2_re(126)=6, index2_im(126)=6, bfly12(126)=-289+j-153
pre_bfly12(127)=-404+j-155977, index2_re(127)=6, index2_im(127)=6, bfly12(127)=-4+j-1219
pre_bfly12(128)=57618+j63914, index2_re(128)=6, index2_im(128)=6, bfly12(128)=450+j499
pre_bfly12(129)=-40576+j-64640, index2_re(129)=6, index2_im(129)=6, bfly12(129)=-317+j-505
pre_bfly12(130)=-142080+j-113792, index2_re(130)=6, index2_im(130)=6, bfly12(130)=-1110+j-889
pre_bfly12(131)=-14720+j-232832, index2_re(131)=6, index2_im(131)=6, bfly12(131)=-115+j-1819
pre_bfly12(132)=24704+j-92800, index2_re(132)=6, index2_im(132)=6, bfly12(132)=193+j-725
pre_bfly12(133)=-18944+j66432, index2_re(133)=6, index2_im(133)=6, bfly12(133)=-148+j519
pre_bfly12(134)=23808+j3072, index2_re(134)=6, index2_im(134)=6, bfly12(134)=186+j24
pre_bfly12(135)=219392+j-46208, index2_re(135)=6, index2_im(135)=6, bfly12(135)=1714+j-361
pre_bfly12(136)=104576+j100864, index2_re(136)=6, index2_im(136)=6, bfly12(136)=817+j788
pre_bfly12(137)=-30592+j-173696, index2_re(137)=6, index2_im(137)=6, bfly12(137)=-239+j-1357
pre_bfly12(138)=80019+j-151792, index2_re(138)=6, index2_im(138)=6, bfly12(138)=625+j-1186
pre_bfly12(139)=35308+j138138, index2_re(139)=6, index2_im(139)=6, bfly12(139)=275+j1079
pre_bfly12(140)=99609+j96287, index2_re(140)=6, index2_im(140)=6, bfly12(140)=778+j752
pre_bfly12(141)=-126848+j-41984, index2_re(141)=6, index2_im(141)=6, bfly12(141)=-991+j-328
pre_bfly12(142)=25588+j-28334, index2_re(142)=6, index2_im(142)=6, bfly12(142)=199+j-222
pre_bfly12(143)=121667+j-82355, index2_re(143)=6, index2_im(143)=6, bfly12(143)=950+j-644
pre_bfly12(144)=215372+j-71879, index2_re(144)=6, index2_im(144)=6, bfly12(144)=1682+j-562
pre_bfly12(145)=-3328+j30976, index2_re(145)=6, index2_im(145)=6, bfly12(145)=-26+j242
pre_bfly12(146)=-23867+j72442, index2_re(146)=6, index2_im(146)=6, bfly12(146)=-187+j565
pre_bfly12(147)=-41232+j-6674, index2_re(147)=6, index2_im(147)=6, bfly12(147)=-323+j-53
pre_bfly12(148)=-33185+j-13551, index2_re(148)=6, index2_im(148)=6, bfly12(148)=-260+j-106
pre_bfly12(149)=-70161+j26845, index2_re(149)=6, index2_im(149)=6, bfly12(149)=-549+j209
pre_bfly12(150)=-71546+j64174, index2_re(150)=6, index2_im(150)=6, bfly12(150)=-559+j501
pre_bfly12(151)=124304+j-21153, index2_re(151)=6, index2_im(151)=6, bfly12(151)=971+j-166
pre_bfly12(152)=102831+j211736, index2_re(152)=6, index2_im(152)=6, bfly12(152)=803+j1654
pre_bfly12(153)=230144+j-129536, index2_re(153)=6, index2_im(153)=6, bfly12(153)=1798+j-1012
pre_bfly12(154)=-168357+j-193578, index2_re(154)=6, index2_im(154)=6, bfly12(154)=-1316+j-1513
pre_bfly12(155)=-73562+j-54066, index2_re(155)=6, index2_im(155)=6, bfly12(155)=-575+j-423
pre_bfly12(156)=106605+j71961, index2_re(156)=6, index2_im(156)=6, bfly12(156)=832+j562
pre_bfly12(157)=-102921+j29211, index2_re(157)=6, index2_im(157)=6, bfly12(157)=-805+j228
pre_bfly12(158)=26524+j146176, index2_re(158)=6, index2_im(158)=6, bfly12(158)=207+j1142
pre_bfly12(159)=-107549+j-19118, index2_re(159)=6, index2_im(159)=6, bfly12(159)=-841+j-150
pre_bfly12(160)=96369+j106470, index2_re(160)=6, index2_im(160)=6, bfly12(160)=752+j831
pre_bfly12(161)=-75648+j115456, index2_re(161)=6, index2_im(161)=6, bfly12(161)=-591+j902
pre_bfly12(162)=46280+j77266, index2_re(162)=6, index2_im(162)=6, bfly12(162)=361+j603
pre_bfly12(163)=-107250+j-177518, index2_re(163)=6, index2_im(163)=6, bfly12(163)=-838+j-1387
pre_bfly12(164)=-23017+j-202843, index2_re(164)=6, index2_im(164)=6, bfly12(164)=-180+j-1585
pre_bfly12(165)=-66498+j-196786, index2_re(165)=6, index2_im(165)=6, bfly12(165)=-520+j-1538
pre_bfly12(166)=-37589+j-18139, index2_re(166)=6, index2_im(166)=6, bfly12(166)=-294+j-142
pre_bfly12(167)=-52856+j-44753, index2_re(167)=6, index2_im(167)=6, bfly12(167)=-413+j-350
pre_bfly12(168)=-73665+j-42363, index2_re(168)=6, index2_im(168)=6, bfly12(168)=-576+j-331
pre_bfly12(169)=-165248+j55552, index2_re(169)=6, index2_im(169)=6, bfly12(169)=-1291+j434
pre_bfly12(170)=236113+j57007, index2_re(170)=6, index2_im(170)=6, bfly12(170)=1844+j445
pre_bfly12(171)=123804+j52214, index2_re(171)=6, index2_im(171)=6, bfly12(171)=967+j407
pre_bfly12(172)=62580+j-83554, index2_re(172)=6, index2_im(172)=6, bfly12(172)=488+j-653
pre_bfly12(173)=56206+j92042, index2_re(173)=6, index2_im(173)=6, bfly12(173)=439+j719
pre_bfly12(174)=25704+j-61110, index2_re(174)=6, index2_im(174)=6, bfly12(174)=200+j-478
pre_bfly12(175)=167362+j137975, index2_re(175)=6, index2_im(175)=6, bfly12(175)=1307+j1077
pre_bfly12(176)=100551+j5608, index2_re(176)=6, index2_im(176)=6, bfly12(176)=785+j43
pre_bfly12(177)=117632+j-105216, index2_re(177)=6, index2_im(177)=6, bfly12(177)=919+j-822
pre_bfly12(178)=-56355+j24152, index2_re(178)=6, index2_im(178)=6, bfly12(178)=-441+j188
pre_bfly12(179)=-28972+j-191581, index2_re(179)=6, index2_im(179)=6, bfly12(179)=-227+j-1497
pre_bfly12(180)=47664+j-12402, index2_re(180)=6, index2_im(180)=6, bfly12(180)=372+j-97
pre_bfly12(181)=-212323+j-48739, index2_re(181)=6, index2_im(181)=6, bfly12(181)=-1659+j-381
pre_bfly12(182)=76947+j14293, index2_re(182)=6, index2_im(182)=6, bfly12(182)=601+j111
pre_bfly12(183)=-111790+j57016, index2_re(183)=6, index2_im(183)=6, bfly12(183)=-874+j445
pre_bfly12(184)=40540+j-76427, index2_re(184)=6, index2_im(184)=6, bfly12(184)=316+j-598
pre_bfly12(185)=-163456+j99072, index2_re(185)=6, index2_im(185)=6, bfly12(185)=-1277+j774
pre_bfly12(186)=-118233+j-22095, index2_re(186)=6, index2_im(186)=6, bfly12(186)=-924+j-173
pre_bfly12(187)=6663+j-140508, index2_re(187)=6, index2_im(187)=6, bfly12(187)=52+j-1098
pre_bfly12(188)=-185153+j-70159, index2_re(188)=6, index2_im(188)=6, bfly12(188)=-1447+j-549
pre_bfly12(189)=27803+j-164571, index2_re(189)=6, index2_im(189)=6, bfly12(189)=217+j-1286
pre_bfly12(190)=129049+j-27814, index2_re(190)=6, index2_im(190)=6, bfly12(190)=1008+j-218
pre_bfly12(191)=-88958+j-64806, index2_re(191)=6, index2_im(191)=6, bfly12(191)=-695+j-507
pre_bfly12(192)=93911+j-120619, index2_re(192)=6, index2_im(192)=6, bfly12(192)=733+j-943
pre_bfly12(193)=85888+j124160, index2_re(193)=5, index2_im(193)=5, bfly12(193)=335+j485
pre_bfly12(194)=35200+j-160896, index2_re(194)=5, index2_im(194)=5, bfly12(194)=137+j-629
pre_bfly12(195)=167936+j-41472, index2_re(195)=5, index2_im(195)=5, bfly12(195)=656+j-162
pre_bfly12(196)=228480+j-158336, index2_re(196)=5, index2_im(196)=5, bfly12(196)=892+j-619
pre_bfly12(197)=-127616+j106496, index2_re(197)=5, index2_im(197)=5, bfly12(197)=-499+j416
pre_bfly12(198)=-209408+j295168, index2_re(198)=5, index2_im(198)=5, bfly12(198)=-818+j1153
pre_bfly12(199)=42112+j-121984, index2_re(199)=5, index2_im(199)=5, bfly12(199)=164+j-477
pre_bfly12(200)=58624+j-28160, index2_re(200)=5, index2_im(200)=5, bfly12(200)=229+j-110
pre_bfly12(201)=-45952+j-48896, index2_re(201)=6, index2_im(201)=6, bfly12(201)=-359+j-382
pre_bfly12(202)=-59943+j179149, index2_re(202)=6, index2_im(202)=6, bfly12(202)=-469+j1399
pre_bfly12(203)=-32760+j-85904, index2_re(203)=6, index2_im(203)=6, bfly12(203)=-256+j-672
pre_bfly12(204)=9831+j26633, index2_re(204)=6, index2_im(204)=6, bfly12(204)=76+j208
pre_bfly12(205)=126208+j5760, index2_re(205)=6, index2_im(205)=6, bfly12(205)=986+j45
pre_bfly12(206)=69568+j79576, index2_re(206)=6, index2_im(206)=6, bfly12(206)=543+j621
pre_bfly12(207)=65520+j48958, index2_re(207)=6, index2_im(207)=6, bfly12(207)=511+j382
pre_bfly12(208)=-1620+j25890, index2_re(208)=6, index2_im(208)=6, bfly12(208)=-13+j202
pre_bfly12(209)=48128+j-21632, index2_re(209)=6, index2_im(209)=6, bfly12(209)=376+j-169
pre_bfly12(210)=83360+j215522, index2_re(210)=6, index2_im(210)=6, bfly12(210)=651+j1683
pre_bfly12(211)=-206+j-41142, index2_re(211)=6, index2_im(211)=6, bfly12(211)=-2+j-322
pre_bfly12(212)=103549+j87423, index2_re(212)=6, index2_im(212)=6, bfly12(212)=808+j682
pre_bfly12(213)=-10829+j52143, index2_re(213)=6, index2_im(213)=6, bfly12(213)=-85+j407
pre_bfly12(214)=-18729+j-60301, index2_re(214)=6, index2_im(214)=6, bfly12(214)=-147+j-472
pre_bfly12(215)=67926+j-22982, index2_re(215)=6, index2_im(215)=6, bfly12(215)=530+j-180
pre_bfly12(216)=-43266+j-89518, index2_re(216)=6, index2_im(216)=6, bfly12(216)=-339+j-700
pre_bfly12(217)=-33792+j7808, index2_re(217)=6, index2_im(217)=6, bfly12(217)=-264+j61
pre_bfly12(218)=-18618+j-2578, index2_re(218)=6, index2_im(218)=6, bfly12(218)=-146+j-21
pre_bfly12(219)=68814+j-3798, index2_re(219)=6, index2_im(219)=6, bfly12(219)=537+j-30
pre_bfly12(220)=-45935+j-142407, index2_re(220)=6, index2_im(220)=6, bfly12(220)=-359+j-1113
pre_bfly12(221)=129493+j171899, index2_re(221)=6, index2_im(221)=6, bfly12(221)=1011+j1342
pre_bfly12(222)=111589+j189377, index2_re(222)=6, index2_im(222)=6, bfly12(222)=871+j1479
pre_bfly12(223)=-44448+j-13086, index2_re(223)=6, index2_im(223)=6, bfly12(223)=-348+j-103
pre_bfly12(224)=102842+j-71466, index2_re(224)=6, index2_im(224)=6, bfly12(224)=803+j-559
pre_bfly12(225)=149504+j13696, index2_re(225)=5, index2_im(225)=5, bfly12(225)=584+j53
pre_bfly12(226)=-84078+j-3970, index2_re(226)=5, index2_im(226)=5, bfly12(226)=-329+j-16
pre_bfly12(227)=-11703+j190512, index2_re(227)=5, index2_im(227)=5, bfly12(227)=-46+j744
pre_bfly12(228)=78917+j63859, index2_re(228)=5, index2_im(228)=5, bfly12(228)=308+j249
pre_bfly12(229)=-20560+j162380, index2_re(229)=5, index2_im(229)=5, bfly12(229)=-81+j634
pre_bfly12(230)=109032+j100582, index2_re(230)=5, index2_im(230)=5, bfly12(230)=425+j392
pre_bfly12(231)=-193714+j-122081, index2_re(231)=5, index2_im(231)=5, bfly12(231)=-757+j-477
pre_bfly12(232)=-273213+j-128493, index2_re(232)=5, index2_im(232)=5, bfly12(232)=-1068+j-502
pre_bfly12(233)=-91136+j82048, index2_re(233)=6, index2_im(233)=6, bfly12(233)=-712+j641
pre_bfly12(234)=66360+j-38712, index2_re(234)=6, index2_im(234)=6, bfly12(234)=518+j-303
