sig_pow(ii)=27.154893, noise_pow(ii)=0.031337
sig_pow(ii)=67.005068, noise_pow(ii)=0.030530
sig_pow(ii)=10.398884, noise_pow(ii)=0.031981
sig_pow(ii)=5.397468, noise_pow(ii)=0.106205
sig_pow(ii)=11.763076, noise_pow(ii)=0.020715
sig_pow(ii)=259.796116, noise_pow(ii)=0.016631
sig_pow(ii)=402.094509, noise_pow(ii)=0.033609
sig_pow(ii)=33.989201, noise_pow(ii)=0.032377
sig_pow(ii)=8.905483, noise_pow(ii)=0.019863
sig_pow(ii)=196.056449, noise_pow(ii)=0.012315
sig_pow(ii)=31.098024, noise_pow(ii)=0.006688
sig_pow(ii)=54.749360, noise_pow(ii)=0.064705
sig_pow(ii)=156.341591, noise_pow(ii)=0.004667
sig_pow(ii)=55.645415, noise_pow(ii)=0.038196
sig_pow(ii)=86.291865, noise_pow(ii)=0.013050
sig_pow(ii)=21.042139, noise_pow(ii)=0.023763
sig_pow(ii)=116.032540, noise_pow(ii)=0.001128
sig_pow(ii)=16.564392, noise_pow(ii)=0.091990
sig_pow(ii)=202.612471, noise_pow(ii)=0.000727
sig_pow(ii)=100.340349, noise_pow(ii)=0.005648
sig_pow(ii)=165.823908, noise_pow(ii)=0.046192
sig_pow(ii)=76.635178, noise_pow(ii)=0.040002
sig_pow(ii)=67.310834, noise_pow(ii)=5.923557
sig_pow(ii)=49.518515, noise_pow(ii)=0.003059
sig_pow(ii)=86.589257, noise_pow(ii)=0.014257
sig_pow(ii)=27.290239, noise_pow(ii)=0.025362
sig_pow(ii)=46.815523, noise_pow(ii)=0.001003
sig_pow(ii)=5.365185, noise_pow(ii)=0.007768
sig_pow(ii)=49.123455, noise_pow(ii)=0.020046
sig_pow(ii)=189.000636, noise_pow(ii)=0.030853
sig_pow(ii)=93.437548, noise_pow(ii)=0.001165
sig_pow(ii)=28.145866, noise_pow(ii)=0.058668
sig_pow(ii)=49.791318, noise_pow(ii)=0.004626
sig_pow(ii)=7.665181, noise_pow(ii)=0.051522
sig_pow(ii)=285.024817, noise_pow(ii)=0.014763
sig_pow(ii)=98.685664, noise_pow(ii)=0.108205
sig_pow(ii)=119.477731, noise_pow(ii)=0.043630
sig_pow(ii)=19.387836, noise_pow(ii)=0.010192
sig_pow(ii)=28.235842, noise_pow(ii)=0.003235
sig_pow(ii)=111.563937, noise_pow(ii)=0.094095
sig_pow(ii)=13.327962, noise_pow(ii)=0.028191
sig_pow(ii)=117.052308, noise_pow(ii)=0.028904
sig_pow(ii)=98.355270, noise_pow(ii)=0.035590
sig_pow(ii)=67.173910, noise_pow(ii)=0.019272
sig_pow(ii)=10.487319, noise_pow(ii)=0.045834
sig_pow(ii)=35.211006, noise_pow(ii)=0.027099
sig_pow(ii)=60.036759, noise_pow(ii)=0.011038
sig_pow(ii)=266.491922, noise_pow(ii)=0.192409
sig_pow(ii)=15.961878, noise_pow(ii)=0.004479
sig_pow(ii)=218.927527, noise_pow(ii)=0.018032
sig_pow(ii)=36.455870, noise_pow(ii)=0.023876
sig_pow(ii)=371.326371, noise_pow(ii)=0.011883
sig_pow(ii)=62.088574, noise_pow(ii)=0.016200
sig_pow(ii)=81.620748, noise_pow(ii)=0.019473
sig_pow(ii)=61.788453, noise_pow(ii)=0.011907
sig_pow(ii)=25.753538, noise_pow(ii)=0.037894
sig_pow(ii)=151.709984, noise_pow(ii)=0.009947
sig_pow(ii)=60.021360, noise_pow(ii)=0.059394
sig_pow(ii)=5.016959, noise_pow(ii)=0.034144
sig_pow(ii)=34.936983, noise_pow(ii)=0.102720
sig_pow(ii)=139.413611, noise_pow(ii)=0.022753
sig_pow(ii)=97.764017, noise_pow(ii)=0.060897
sig_pow(ii)=27.945348, noise_pow(ii)=0.007519
sig_pow(ii)=17.579019, noise_pow(ii)=0.001888
sig_pow(ii)=118.914272, noise_pow(ii)=0.012127
sig_pow(ii)=134.917253, noise_pow(ii)=0.073173
sig_pow(ii)=166.598336, noise_pow(ii)=0.003654
sig_pow(ii)=166.450268, noise_pow(ii)=0.016891
sig_pow(ii)=5.322721, noise_pow(ii)=0.002216
sig_pow(ii)=197.989156, noise_pow(ii)=0.070100
sig_pow(ii)=66.110830, noise_pow(ii)=0.026670
sig_pow(ii)=73.184220, noise_pow(ii)=0.051720
sig_pow(ii)=135.807728, noise_pow(ii)=0.003101
sig_pow(ii)=104.088729, noise_pow(ii)=0.024534
sig_pow(ii)=68.837250, noise_pow(ii)=0.031090
sig_pow(ii)=144.117496, noise_pow(ii)=0.006403
sig_pow(ii)=68.875206, noise_pow(ii)=0.009541
sig_pow(ii)=204.578217, noise_pow(ii)=0.032871
sig_pow(ii)=301.447599, noise_pow(ii)=0.046907
sig_pow(ii)=59.499491, noise_pow(ii)=0.051615
sig_pow(ii)=135.191205, noise_pow(ii)=0.024585
sig_pow(ii)=26.798050, noise_pow(ii)=0.030790
sig_pow(ii)=123.848454, noise_pow(ii)=0.006741
sig_pow(ii)=51.424082, noise_pow(ii)=0.033764
sig_pow(ii)=19.274946, noise_pow(ii)=0.016058
sig_pow(ii)=65.334732, noise_pow(ii)=0.022339
sig_pow(ii)=155.923468, noise_pow(ii)=8.000000
sig_pow(ii)=118.280540, noise_pow(ii)=0.035954
sig_pow(ii)=160.094956, noise_pow(ii)=0.014514
sig_pow(ii)=169.992384, noise_pow(ii)=0.018314
sig_pow(ii)=41.019881, noise_pow(ii)=0.023353
sig_pow(ii)=26.691143, noise_pow(ii)=0.011163
sig_pow(ii)=48.302692, noise_pow(ii)=0.008984
sig_pow(ii)=54.663784, noise_pow(ii)=0.030844
sig_pow(ii)=117.491678, noise_pow(ii)=0.008197
sig_pow(ii)=83.139951, noise_pow(ii)=0.027490
sig_pow(ii)=128.859663, noise_pow(ii)=0.007639
sig_pow(ii)=36.954503, noise_pow(ii)=0.041261
sig_pow(ii)=102.419845, noise_pow(ii)=0.010741
sig_pow(ii)=27.826977, noise_pow(ii)=0.038729
